mod_mass,total_psm_count,mod_mass_spec_id,code
-43.005814,90612,70,N[-43.005814]
133.019749,90321,1117,C[133.019749]
-14.974514,89363,188,N[-14.974514]
126.104465,89048,1078,C/S/T[126.104465]
19.009836,88938,461,Q[19.009836]
-19.042199,88753,139,R[-19.042199]
-14.999666,88116,186,E[-14.999666]
100.016044,87045,940,S[100.016044]
-15.994915,86726,176,T[-15.994915]
108.975121,86667,978,C/H/K/S/T/Y[108.975121]
-3.940771,86336,220,C[-3.940771]
10.020735,85558,337,S[10.020735]
159.932662,85141,1271,S/T[159.932662]
39.010899,84351,606,F[39.010899]
115.042199,84205,1028,A[115.042199]
25.979265,83134,488,N-term of peptide[25.979265]
13.979265,82983,364,I[13.979265]
12.962234,82914,356,F[12.962234]
37.990498,82546,603,V[37.990498]
83.070128,81659,873,C[83.070128]
33.951335,81398,569,L[33.951335]
42.021798,81353,631,K[42.021798]
50.01565,80958,708,P[50.01565]
87.032028,79631,896,K/N-term of peptide[87.032028]
92.026215,79089,910,A[92.026215]
234.073953,78764,1555,C-term of peptide/D/N-term of peptide[234.073953]
-14.01565,78455,193,L[-14.01565]
192.063388,77890,1397,K/N/Q/R/S/T[192.063388]
-27.058518,77669,120,R[-27.058518]
264.084518,76471,1617,S/T[264.084518]
-10.009502,76440,209,F[-10.009502]
-27.047285,75961,121,K[-27.047285]
584.263485,75413,1995,C[584.263485]
176.032088,74755,1361,N-term of protein/S/T[176.032088]
118.065674,73341,1037,C[118.065674]
78.966748,72408,853,C[78.966748]
380.147118,72208,1829,C/K/N-term of peptide/R/S/T/Y[380.147118]
0.984016,72052,253,F of protein[0.984016]
115.0667,71765,1029,K/N-term of protein[115.0667]
135.983029,71614,1126,N-term of peptide[135.983029]
-31.989829,71548,97,E[-31.989829]
31.989829,71301,551,C[31.989829]
15.010899,71033,401,E[15.010899]
136.028931,70567,1131,C/H/K/N-term of peptide/S/T/Y[136.028931]
60.036386,70216,784,S[60.036386]
62.01565,70016,794,K[62.01565]
123.974787,69463,1067,C/H/K/S/T/Y[123.974787]
12.017759,68616,353,C[12.017759]
99.079647,68451,936,G[99.079647]
128.047344,68303,1083,K[128.047344]
-59.048347,68261,36,R[-59.048347]
-99.079647,68111,7,R[-99.079647]
-56.0626,67980,47,I/L[-56.0626]
60.003371,67934,782,S[60.003371]
86.000394,67543,886,C/K/S[86.000394]
-23.015984,67454,133,H[-23.015984]
-11.033743,67303,204,N[-11.033743]
172.084792,66844,1347,C[172.084792]
-12.017759,66666,203,D[-12.017759]
-31.972071,66583,99,C[-31.972071]
15.958529,66372,405,L[15.958529]
-71.05237,66079,26,W[-71.05237]
72.036386,66006,833,N[72.036386]
15.958529,65580,404,V[15.958529]
163.04557,65369,1309,C/K/N-term of peptide[163.04557]
28.990164,64958,525,C[28.990164]
9.000334,64606,331,Q[9.000334]
-5.956421,64308,216,C[-5.956421]
17.974179,63356,449,P[17.974179]
27.058518,63283,501,E[27.058518]
1227.438847,63044,2355,N[1227.438847]
17.031558,62276,439,K/N-term of peptide[17.031558]
43.005814,62238,643,Y[43.005814]
71.073499,61948,825,G[71.073499]
-18.010565,61904,150,D[-18.010565]
107.997631,61567,976,N-term of peptide[107.997631]
146.057909,61327,1207,N/S/T[146.057909]
172.01289,61083,1343,K[172.01289]
-43.989829,60542,67,D[-43.989829]
-71.073499,60414,25,K[-71.073499]
71.05237,60023,824,D[71.05237]
276.055146,59406,1636,H/K/R/S/T/Y[276.055146]
672.222527,58954,2043,S/T[672.222527]
72.021129,58708,831,K[72.021129]
120.021129,58492,1042,C/H/K[120.021129]
-19.009836,58485,140,F[-19.009836]
-14.01565,58466,191,I[-14.01565]
95.943487,57505,922,S/T/Y[95.943487]
85.052764,57485,878,C[85.052764]
72.021129,57284,830,G[72.021129]
210.16198,56955,1432,C-term of peptide/D/N-term of peptide[210.16198]
-29.974179,56873,110,E[-29.974179]
1913.677025,56833,2723,N[1913.677025]
57.98435,56674,760,K[57.98435]
105.057849,56662,959,C[105.057849]
63.994915,56479,802,V[63.994915]
-28.0313,56439,114,M[-28.0313]
35.004751,55778,587,Q[35.004751]
-16.997557,55622,170,M[-16.997557]
99.068414,55447,935,C[99.068414]
43.042199,55283,655,C/C-term of peptide/D/E[43.042199]
-99.047285,54685,8,W[-99.047285]
-31.972071,54121,98,M[-31.972071]
56.026215,54067,734,K[56.026215]
314.188195,53922,1722,K/N-term of peptide[314.188195]
-31.005814,53659,101,Q[-31.005814]
-89.02992,53572,12,M of protein[-89.02992]
161.024228,53532,1276,C-term of peptide/D/E[161.024228]
-13.979265,53425,196,D[-13.979265]
